amount,old_balance,new_balance,transaction_type,is_fraud
46.92680899768591,1868.2040923334926,3649.991554949852,0,0
301.0121430917521,1664.5604811570163,922.5599779935578,0,0
131.67456935454493,880.7695625143002,1733.198471849431,1,0
91.29425537759532,3036.3333505074397,3316.4031842890913,0,0
16.962487046234628,2383.1208025431442,2410.4467226223996,1,0
16.959629191460518,4328.504961620019,3692.855193174469,0,0
5.983876860868068,160.54790241029127,4806.039506114298,0,0
201.12308644799396,3219.3396377756317,582.7334385759875,0,0
91.90821536272645,3814.7443925578054,3547.8385819903046,1,0
123.12500617045903,3797.432845941535,1151.7207781605725,1,0
2.0799307999138623,4430.369835477625,2072.3836370378463,0,0
350.3557475158312,3645.1687141474704,164.31362897569912,0,0
178.6429543354675,4639.050308238481,679.5369114634947,0,0
23.8687625248947,1663.2829991044573,1598.8864452444984,0,0
20.067898874966335,2516.0470837577154,1709.9290264399247,0,0
20.261142283225706,70.39831641445338,4497.926082310479,0,0
36.27537294604771,34.787936516456064,3709.0645463325754,0,0
74.39278308608544,1200.6331022575994,4860.914840935206,1,0
56.55370667803366,504.0359856954263,2995.3575516762025,1,0
34.42229925539415,1301.056839678768,1208.56866045659,0,0
94.63708738997987,885.216472641987,1638.2751496082144,0,0
15.023452872733866,142.6001241932412,1599.1796164598354,0,0
34.551551200240226,4546.520732030247,1632.471638316258,0,0
45.6277218220847,41.115656944457626,3364.8208655590784,0,0
60.893468785977504,3680.4107216854272,2654.039640452081,0,0
153.7936011030912,760.7394345975827,1927.1208904332216,1,0
22.273586212869027,4561.148109998,745.448843643583,1,0
72.20291550331277,4463.979697949429,110.69581471072954,1,0
89.75047213097605,3269.505731846287,1094.173387938463,0,0
4.756384975640855,3361.170749003026,537.3570198434063,1,0
93.533302064961,26.695709848442718,3927.225154261197,0,0
18.696125197741644,4924.35783056801,562.4897890694269,1,0
6.726393087930424,4389.163017879072,3621.1411865341806,0,0
297.3687793506931,4475.53112865046,1928.2934488804133,1,0
337.06303424611724,3296.2226852543595,366.89194871887986,0,0
165.23315728128767,1723.9346432726827,4063.650247157929,1,0
36.32878599687583,4468.243245452404,2898.1528511830666,1,0
10.277731500250624,1457.5846407559618,1178.8075643178652,1,0
115.27507630986618,2813.557716711014,4473.40587166334,0,0
58.009084258539836,498.654861719412,226.2915693527573,0,0
13.015223395444863,4609.778150663751,1009.0980409888145,0,0
68.35472281341501,703.8522888560667,3760.234639029305,0,0
3.4993721443479084,1124.4840286520364,3546.8896515494457,0,0
240.04228873930236,2790.6707906410747,1446.35846862239,1,0
29.94577768406861,3820.465001064908,310.12437676391556,0,0
108.62557985649804,3096.7565296814946,4290.390361124719,0,0
37.354658165762366,1160.6695640007808,1568.488190349513,0,0
73.41108959092286,4.715212637451671,978.567074641326,1,0
79.12237979817975,3785.752901537196,2580.3091118048856,1,0
20.438859950790576,4926.036629555469,4551.135996412237,1,0
349.28071327362267,4049.565601530452,217.7328892168767,0,0
149.22453771381407,2301.0330907830767,3829.020440154439,0,0
280.50944192915824,4518.836306995533,2862.3661396935445,1,0
225.21519975341965,2049.23836559175,2127.2455827590848,0,0
91.1054412383275,2624.6704212173377,3720.4022205253,0,0
254.9435379269405,2385.648836978416,4829.122122208161,0,0
9.265545895311563,2238.119363327625,1146.0310558134552,0,0
21.813469463126744,3875.953846469529,718.2368253605981,0,0
4.628196568683196,2633.84453634746,4564.4087261134855,1,0
39.35320868030868,1583.5856101260804,3344.7653872865185,1,0
49.21302917942186,1290.7908382923915,2189.9301078098297,1,0
31.65604432088257,188.73658483716693,2866.2978513214152,0,0
176.45578652409338,2915.97580941523,3728.06952588122,1,0
44.12269995298701,1149.807077005171,3865.159493528586,0,0
32.98028401342492,740.6696100819155,4599.470904094823,1,0
78.2407083207746,3269.1498191383885,2134.2139444781133,0,0
